Label,Outer left eyebrow-x,Outer left eyebrow-y,Middle left eyebrow-x,Middle left eyebrow-y,Inner left eyebrow-x,Inner left eyebrow-y,Inner right eyebrow-x,Inner right eyebrow-y,Middle right eyebrow-x,Middle right eyebrow-y,Outer right eyebrow-x,Outer right eyebrow-y,Left temple-x,Left temple-y,Outer left eye corner-x,Outer left eye corner-y,Inner left eye corner-x,Inner left eye corner-y,Inner right eye corner-x,Inner right eye corner-y,Outer right eye corner-x,Outer right eye corner-y,Right temple-x,Right temple-y,Nose saddle left-x,Nose saddle left-y,Nose saddle right-x,Nose saddle right-y,Left nose peak-x,Left nose peak-y,Nose tip-x,Nose tip-y,Right nose peak-x,Right nose peak-y,Left mouth corner-x,Left mouth corner-y,Upper lip outer middle-x,Upper lip outer middle-y,Right mouth corner-x,Right mouth corner-y,Upper lip inner middle-x,Upper lip inner middle-y,Lower lip inner middle-x,Lower lip inner middle-y,Lower lip outer middle-x,Lower lip outer middle-y,Chin middle-x,Chin middle-y,Left ear lobe-x,Left ear lobe-y,Right ear lobe-x,Right ear lobe-y
FEAR,89.8075,519.213,200.91,380.952,455.211,385.89,642.851,380.952,909.497,408.11,995.91,521.682,-1,-1,200.91,571.061,415.708,571.061,694.699,571.061,902.09,561.185,-1,-1,499.652,566.123,625.568,568.592,413.239,869.803,546.562,835.238,694.699,884.616,376.205,1124.1,544.093,1057.44,721.857,1146.32,549.031,1109.29,551.5,1259.9,556.438,1331.5,549.031,1563.58,-1,-1,-1,-1
SURPRISE,102.152,489.022,235.978,378.674,463.717,439.717,618.674,425.63,851.109,376.326,952.065,479.63,-1,-1,207.804,580.587,414.413,582.935,675.022,580.587,879.283,571.196,-1,-1,494.239,601.717,613.978,604.065,400.326,876.413,534.152,859.978,667.978,885.804,390.935,1127.63,536.5,1078.33,691.457,1139.37,531.804,1120.59,531.804,1193.37,531.804,1247.37,541.196,1493.89,-1,-1,-1,-1
SADNESS,108.935,510.711,216.674,418.363,403.568,424.96,583.866,420.562,792.748,405.171,948.86,490.922,-1,-1,188.09,552.488,396.972,548.09,658.624,534.898,876.301,530.5,-1,-1,473.929,570.078,588.264,561.283,401.37,842.724,539.891,827.332,685.009,831.73,385.978,1042.81,559.68,1005.43,746.575,1023.02,561.879,1045.01,564.078,1075.79,566.276,1132.96,583.866,1394.61,-1,-1,-1,-1
ANGER,92.9379,552.334,202.41,440.672,421.354,466.946,600.888,427.536,835.158,379.368,953.388,480.082,-1,-1,167.379,550.144,395.081,539.197,662.193,526.061,876.758,510.734,-1,-1,478.28,563.281,576.804,561.092,390.702,834.772,517.689,826.014,670.95,836.961,375.376,1060.28,541.773,1029.63,708.171,1064.66,537.394,1069.04,548.342,1106.26,546.152,1141.29,559.289,1382.13,-1,-1,-1,-1
DISGUST,112.065,503.957,236.239,410.826,466.848,413.043,617.63,408.609,861.543,419.696,959.109,501.739,-1,-1,205.196,541.652,429.152,552.739,681.935,541.652,888.152,541.652,-1,-1,504.543,559.391,624.283,561.609,402.543,821.043,564.413,821.043,697.457,821.043,371.5,1027.26,555.543,991.783,735.152,1020.61,555.543,1025.04,553.326,1087.13,564.413,1149.22,562.196,1386.48,-1,-1,-1,-1
HAPPY,77.1553,516.129,169.205,403.368,399.329,433.284,581.127,447.092,836.565,435.585,967.736,546.045,-1,-1,169.205,569.057,394.727,559.852,645.562,569.057,859.578,580.564,-1,-1,452.258,605.877,548.91,598.974,355.606,819.893,498.283,815.29,652.466,833.7,314.183,1024.7,502.885,1013.2,723.804,1022.4,500.584,1029.31,493.68,1121.36,495.981,1169.68,500.584,1459.64,-1,-1,-1,-1
HAPPY,91.398,470.485,256.153,416.76,478.214,463.321,664.459,459.74,832.796,406.015,1026.2,441.832,-1,-1,191.684,534.954,449.561,545.699,693.112,538.536,950.99,527.791,-1,-1,506.867,549.281,646.551,538.536,442.398,825.066,585.663,857.301,743.255,814.321,327.786,946.842,589.245,968.332,847.122,932.515,592.827,986.24,599.99,1065.04,603.571,1118.76,603.571,1376.64,-1,-1,-1,-1
FEAR,108.135,380.428,270.836,315.864,467.11,375.263,681.463,377.845,864.825,305.533,1014.61,359.767,4.8321,460.487,211.437,494.06,446.45,504.391,704.706,499.225,926.806,494.06,1105.0,457.904,513.596,470.817,637.559,468.235,428.372,793.637,585.908,778.142,727.949,796.22,384.468,1049.31,583.326,958.921,748.609,1044.15,580.743,997.66,575.578,1082.88,575.578,1168.11,580.743,1377.3,-1,-1,-1,-1
HAPPY,128.572,411.93,285.93,348.48,499.125,401.778,686.94,394.164,895.058,345.942,1024.5,411.93,4.20872,462.691,222.48,477.919,450.903,485.533,719.934,488.071,945.819,482.995,1103.18,462.691,532.12,462.691,646.331,455.077,422.984,741.875,605.723,767.255,752.929,744.413,339.229,937.303,593.032,901.771,808.765,952.532,595.571,922.075,590.494,1013.44,585.418,1092.12,587.956,1333.24,-1,-1,-1,-1
ANGER,142.058,334.955,291.669,299.89,488.032,341.968,686.734,334.955,864.396,278.851,1025.69,320.929,11.1494,377.032,228.552,391.058,450.63,398.071,724.136,393.396,941.539,386.383,1112.19,360.669,532.448,386.383,646.994,381.708,445.955,718.331,614.266,713.656,749.851,708.981,410.89,933.396,607.253,888.981,768.552,926.383,607.253,924.045,607.253,935.734,607.253,1005.86,616.604,1248.98,-1,-1,-1,-1
DISGUST,116.578,348.296,271.598,296.622,487.687,348.296,642.708,345.947,837.658,296.622,990.329,341.25,6.1846,402.318,189.391,423.457,417.224,409.365,696.73,421.109,903.424,423.457,1112.47,390.574,504.129,407.016,605.127,407.016,405.48,719.405,562.849,695.917,708.474,719.405,342.062,956.634,553.454,879.123,739.008,961.331,551.105,912.006,548.756,970.726,548.756,1043.54,551.105,1254.93,-1,-1,-1,-1
SURPRISE,113.895,410.639,274.147,347.589,476.433,397.504,707.617,379.114,883.632,326.572,1041.26,389.622,8.81169,473.689,203.216,513.096,447.535,520.977,715.498,510.468,941.428,497.333,1114.82,468.435,521.094,484.198,655.075,481.571,447.535,804.702,602.533,781.058,747.023,799.448,408.129,1070.04,602.533,967.582,770.667,1064.78,602.533,1009.62,605.16,1098.94,602.533,1193.51,597.279,1411.56,-1,-1,-1,-1
HAPPY,99.2321,473.062,213.344,339.932,491.015,446.436,692.611,438.829,966.479,339.932,1061.57,442.633,-1,-1,186.718,518.707,471.996,526.314,704.023,522.511,962.675,503.492,-1,-1,551.874,583.37,646.967,579.566,437.763,849.63,605.126,918.097,787.704,830.611,350.277,975.153,616.537,990.367,871.386,956.134,608.93,1016.99,605.126,1074.05,605.126,1146.32,593.715,1374.54,-1,-1,-1,-1
SURPRISE,114.496,318.485,246.062,234.084,434.723,268.838,643.242,253.943,799.632,194.366,951.057,273.802,10.2365,420.263,208.827,427.71,409.899,430.192,668.066,420.263,876.585,405.368,1065.25,378.062,470.936,355.248,592.351,350.391,399.969,685.877,536.5,615.077,695.372,670.982,350.322,944.044,556.359,891.914,759.914,939.079,558.841,926.667,568.771,1018.51,568.771,1088.02,583.665,1313.92,-1,-1,-1,-1
FEAR,106.353,332.789,261.975,265.353,440.94,312.04,627.686,296.478,783.307,229.042,936.335,278.322,2.60575,420.975,197.133,420.975,402.034,436.537,663.997,418.381,876.68,395.038,1073.8,371.695,455.772,373.738,585.17,368.663,399.441,688.125,534.426,622.384,684.747,680.344,357.942,991.587,555.062,908.589,754.776,986.4,555.062,947.494,562.843,1056.43,562.843,1126.46,570.624,1352.11,-1,-1,-1,-1
DISGUST,109.047,322.404,248.25,269.917,430.81,308.712,611.088,297.301,770.828,237.969,919.159,267.635,4.07514,415.966,188.917,418.248,392.016,413.684,649.882,399.992,866.673,372.608,1062.92,358.916,444.502,374.89,592.832,370.326,385.17,641.884,522.338,612.268,681.83,630.474,337.248,922.571,540.346,838.136,761.7,913.442,542.628,879.212,542.628,888.34,542.628,947.673,542.628,1191.85,-1,-1,-1,-1
ANGER,122.867,299.583,275.762,272.199,440.066,295.019,611.216,283.609,770.956,235.687,921.569,258.507,6.48516,399.992,198.173,402.274,403.554,399.992,654.574,390.864,871.365,370.326,1044.8,354.352,453.066,353.32,591.469,346.623,378.452,664.704,520.035,592.177,686.522,641.884,364.76,927.135,529.064,860.956,702.496,908.878,531.346,897.468,531.346,908.878,531.346,949.955,554.166,1191.85,-1,-1,-1,-1
HAPPY,102.084,323.45,241.097,256.426,422.311,296.144,613.454,293.661,777.29,246.496,921.268,296.144,2.78942,417.78,193.932,425.227,390.04,427.71,650.689,422.745,866.656,407.851,1060.28,397.921,446.652,369.818,575.353,367.389,357.769,651.123,504.932,590.794,677.995,643.676,283.298,872.055,526.571,827.372,777.29,867.09,524.088,862.125,529.053,1018.51,529.053,1078.09,531.535,1318.88,-1,-1,-1,-1
SADNESS,120.457,308.712,266.506,251.661,437.656,272.199,622.498,256.225,795.93,219.713,928.287,272.199,1.79314,415.966,193.481,413.684,398.862,415.966,656.728,404.556,862.109,386.3,1060.64,381.736,459.834,335.462,584.843,328.765,394.298,671.55,531.268,610.035,681.83,660.14,346.376,945.391,535.782,865.52,734.316,940.827,538.064,906.596,538.064,920.288,542.628,981.903,558.602,1205.54,-1,-1,-1,-1
HAPPY,100.5,520.291,217.45,425.27,407.493,428.924,758.342,428.924,930.112,392.378,1061.68,487.399,-1,-1,191.867,571.457,451.349,564.147,710.831,545.874,970.313,549.529,-1,-1,535.406,659.169,641.392,651.86,440.385,882.104,604.845,929.615,747.378,860.176,334.399,1039.26,582.917,1046.56,849.709,1013.67,582.917,1068.49,579.263,1170.82,582.917,1207.37,582.917,1437.62,-1,-1,-1,-1
HAPPY,129.361,486.703,241.639,402.495,478.223,470.663,694.757,466.653,923.322,402.495,1043.62,506.752,-1,-1,217.579,590.96,478.223,615.02,726.837,615.02,971.441,607.0,-1,-1,570.45,655.119,638.619,647.099,490.252,943.832,618.569,947.842,742.876,927.792,373.965,1140.32,610.55,1124.28,843.124,1120.27,606.54,1156.36,606.54,1220.51,606.54,1284.67,598.52,1553.34,-1,-1,-1,-1
HAPPY,22.5928,452.046,138.137,340.354,326.858,390.423,654.232,428.938,919.983,351.908,1000.86,417.383,-1,-1,149.691,567.59,392.333,548.333,646.529,544.481,935.389,548.333,-1,-1,453.956,529.076,588.757,532.927,361.521,783.272,527.134,783.272,681.192,748.609,311.452,1029.77,550.243,971.993,777.479,1002.81,550.243,1018.21,542.54,1072.13,542.54,1133.75,554.094,1353.29,-1,-1,-1,-1
HAPPY,107.953,420.817,244.313,392.845,415.637,406.831,681.363,403.335,852.687,378.86,985.55,427.809,-1,-1,181.378,483.752,405.147,497.737,677.867,501.234,905.133,483.752,-1,-1,496.054,574.658,604.442,571.162,394.658,791.435,551.996,878.845,695.349,798.428,282.773,973.248,531.018,973.248,796.745,973.248,534.514,1004.72,545.004,1102.62,545.004,1172.54,551.996,1392.82,-1,-1,-1,-1
HAPPY,179.373,660.415,298.068,574.092,578.619,628.044,853.776,628.044,1139.72,557.906,1269.21,638.834,-1,-1,281.882,762.924,578.619,752.134,875.357,757.529,1182.88,773.715,-1,-1,681.129,746.739,805.219,746.739,551.643,1021.9,745.871,1021.9,918.519,1027.29,449.134,1297.05,724.29,1232.31,994.052,1291.66,713.5,1264.68,740.476,1448.12,740.476,1502.07,740.476,1804.2,-1,-1,-1,-1
SADNESS,104.923,489.797,202.214,400.186,453.123,410.428,670.749,384.825,885.814,346.42,1052.23,430.91,2.51113,561.485,202.214,558.925,435.201,553.804,709.153,533.322,949.821,512.84,1172.57,487.237,509.45,510.279,624.663,507.719,427.52,832.877,578.578,725.344,732.196,814.955,363.513,1058.18,591.379,994.175,832.047,1045.38,596.5,1045.38,596.5,1055.62,599.06,1127.31,609.301,1365.42,-1,-1,-1,-1
FEAR,86.9898,463.754,206.712,354.674,422.211,391.921,664.314,375.958,874.493,330.73,1034.12,410.545,1.85436,527.606,182.767,546.229,414.229,540.908,688.259,527.606,919.721,498.34,1148.52,474.396,478.081,495.68,611.105,490.359,403.587,809.617,557.895,719.16,706.882,798.975,376.982,1078.33,557.895,977.227,773.394,1059.7,563.216,1019.79,565.877,1099.61,568.537,1179.42,587.16,1413.55,-1,-1,-1,-1
DISGUST,119.567,448.565,237.808,393.218,451.648,415.86,655.426,395.734,869.266,355.481,1027.76,398.25,1.3256,513.975,190.008,526.554,434.038,529.07,703.225,508.943,934.676,478.754,1163.61,461.144,496.932,483.786,632.784,476.238,406.365,798.257,574.921,730.331,735.93,788.194,368.628,1027.19,587.5,961.782,806.372,1027.19,584.984,1009.58,582.468,1052.35,584.984,1132.85,592.532,1344.18,-1,-1,-1,-1
HAPPY,107.116,481.571,230.589,389.622,438.129,405.385,687.702,402.758,903.123,352.843,1055.49,439.537,2.03247,549.875,199.064,563.01,427.621,555.129,703.465,541.994,942.53,515.723,1157.95,494.706,501.179,507.841,632.533,499.96,403.977,815.211,577.365,723.263,756.006,791.567,333.045,1022.75,587.873,954.446,855.836,991.225,590.5,996.48,598.381,1091.05,598.381,1172.49,601.008,1401.05,-1,-1,-1,-1
ANGER,124.86,492.608,242.578,416.745,459.702,429.825,674.211,419.361,891.335,374.89,1053.52,437.673,9.75788,558.006,208.571,560.622,436.159,560.622,716.066,542.311,948.886,505.687,1173.86,492.608,509.405,516.151,637.587,508.303,430.927,843.146,582.652,751.587,736.994,835.298,404.767,1075.97,593.116,1031.49,778.849,1070.73,593.116,1081.2,593.116,1096.89,593.116,1146.6,598.348,1389.88,-1,-1,-1,-1
SURPRISE,95.3163,429.825,233.962,309.491,432.775,338.266,668.211,327.802,885.335,283.331,1008.28,364.426,1.14193,521.383,192.107,523.999,422.311,513.535,691.754,497.84,921.958,471.68,1136.47,435.057,487.71,474.296,608.044,474.296,406.615,780.363,568.804,686.188,720.53,764.667,369.992,1036.73,576.652,945.168,788.545,1021.03,576.652,989.639,579.268,1104.74,584.5,1185.84,602.812,1392.5,-1,-1,-1,-1
SURPRISE,123.04,394.699,277.86,283.337,470.706,299.634,723.307,283.337,916.153,253.459,1049.24,334.943,3.52968,492.48,237.118,457.17,470.706,446.305,723.307,427.292,948.747,413.712,1138.88,397.415,538.609,400.131,663.552,389.266,487.003,742.365,649.971,690.758,788.494,715.203,459.841,1003.11,660.836,880.888,837.385,959.656,660.836,921.63,666.268,1035.71,671.7,1111.76,682.565,1364.36,-1,-1,-1,-1
FEAR,142.47,417.574,285.736,315.986,491.517,321.196,736.37,310.776,949.966,289.938,1067.18,378.502,12.2291,480.09,254.478,461.856,481.097,456.647,736.37,446.227,968.199,435.808,1145.33,435.808,551.428,404.55,681.669,399.34,486.307,730.153,653.016,685.871,796.281,711.919,457.654,995.845,663.435,891.652,845.773,954.168,663.435,933.329,653.016,1008.87,655.621,1089.62,655.621,1339.68,-1,-1,-1,-1
DISGUST,159.162,364.799,321.24,294.981,510.747,322.409,742.643,314.929,964.565,285.006,1099.21,359.812,31.9935,444.591,276.357,427.136,498.279,427.136,765.084,422.149,984.513,419.656,1179.01,427.136,585.552,407.188,700.253,404.695,490.799,711.396,660.357,686.461,812.461,711.396,428.461,923.344,667.838,880.955,864.825,905.89,667.838,920.851,667.838,955.76,667.838,1028.07,682.799,1274.93,-1,-1,-1,-1
ANGER,175.404,401.049,324.513,317.339,536.405,343.498,779.689,333.034,981.118,299.027,1117.15,367.042,41.9898,453.368,290.506,448.136,518.094,440.288,782.305,432.441,1009.89,429.825,1206.09,427.209,604.42,424.593,719.522,416.745,512.862,746.355,675.051,712.348,829.392,720.196,468.391,945.168,682.899,908.545,868.632,926.856,685.515,945.168,682.899,955.632,690.747,1010.57,703.827,1272.16,-1,-1,-1,-1
HAPPY,143.083,430.955,271.387,325.292,495.29,335.355,736.804,320.261,955.676,280.008,1076.43,337.871,9.74675,496.365,253.776,471.207,487.743,461.144,741.836,433.47,980.834,420.891,1169.52,415.86,570.763,420.891,686.489,408.313,487.743,745.426,673.91,705.173,832.404,705.173,409.754,913.982,686.489,853.604,933.034,848.572,689.005,891.34,694.036,956.75,701.583,1004.55,721.71,1281.28,-1,-1,-1,-1
HAPPY,111.399,476.007,209.564,373.752,459.065,402.383,684.025,410.564,904.895,381.932,1031.69,467.826,-1,-1,176.842,500.548,438.614,520.999,700.386,520.999,966.248,512.818,-1,-1,521.771,581.421,606.214,581.421,404.286,809.05,554.814,805.379,723.7,798.036,312.5,1055.04,562.157,1025.66,830.171,1047.69,565.829,1051.36,562.157,1154.16,562.157,1201.89,565.829,1462.56,-1,-1,-1,-1
DISGUST,135.079,223.248,284.244,185.4,451.22,229.927,651.591,232.153,809.661,167.589,958.827,196.532,12.6299,294.491,221.906,296.717,435.635,305.622,676.081,292.264,896.489,281.133,1074.6,267.775,477.936,285.585,629.327,281.133,444.541,646.253,573.669,619.537,680.533,632.895,382.203,826.587,578.122,802.097,756.229,819.908,575.895,837.719,575.895,848.851,580.348,906.736,582.574,1189.48,-1,-1,-1,-1
SADNESS,133.415,296.622,262.598,228.507,452.851,273.135,664.242,263.739,859.192,205.019,981.329,261.391,25.3701,357.691,241.459,367.086,448.153,376.481,675.986,367.086,887.378,345.947,1101.12,322.459,504.524,345.947,621.964,343.598,448.153,721.754,586.732,700.615,715.916,717.057,347.155,881.472,593.778,881.472,802.821,895.565,591.429,907.309,591.429,919.053,591.429,973.075,584.383,1252.58,-1,-1,-1,-1
SURPRISE,112.103,339.574,245.238,197.756,444.942,273.006,682.27,258.535,893.55,177.496,1029.58,301.949,25.2755,440.873,222.084,475.604,447.836,475.604,702.53,458.238,925.387,432.19,1119.3,400.353,520.192,417.719,633.068,411.93,459.413,802.654,607.019,750.558,734.366,788.183,384.162,1077.61,604.125,982.097,798.04,1060.24,604.125,1013.93,609.914,1152.86,609.914,1233.9,612.808,1549.37,-1,-1,-1,-1
HAPPY,103.504,314.583,219.652,228.09,404.995,275.044,637.292,267.63,827.578,205.849,953.611,277.515,7.12523,391.192,202.353,410.962,407.467,413.433,652.12,396.135,857.233,376.365,1059.87,349.181,471.719,378.836,585.396,376.365,390.168,714.925,553.27,700.097,694.131,707.511,276.491,865.671,555.741,848.372,802.865,850.843,555.741,880.498,553.27,954.635,550.799,1011.47,553.27,1312.97,-1,-1,-1,-1
ANGER,133.181,295.849,289.871,254.973,451.103,302.661,621.418,293.578,787.192,241.348,934.799,261.786,1.47032,354.891,212.661,373.058,410.227,379.871,664.565,361.704,862.131,352.621,1041.53,336.724,473.812,363.975,594.168,363.975,426.123,722.773,551.021,711.418,664.565,727.314,351.185,906.713,541.938,915.797,723.608,936.235,541.938,924.88,541.938,936.235,541.938,945.318,530.583,1215.55,-1,-1,-1,-1
FEAR,83.8395,313.164,194.545,229.52,391.353,271.342,593.083,266.422,799.732,199.999,942.418,271.342,12.4963,389.428,179.784,389.428,388.893,406.648,622.604,394.348,844.014,362.366,1035.9,337.765,443.016,369.747,553.721,364.827,396.274,746.144,504.519,692.021,639.825,736.303,334.771,967.554,506.979,908.511,696.407,960.173,506.979,933.112,506.979,972.474,506.979,1033.98,516.819,1314.43,-1,-1,-1,-1
FEAR,110.594,466.845,250.608,383.594,424.68,379.809,591.183,349.536,769.04,360.888,909.054,413.867,-1,-1,178.709,550.097,401.975,550.097,632.809,531.176,859.86,516.04,-1,-1,485.227,569.018,549.558,561.45,401.975,773.363,526.853,712.817,640.378,777.147,371.701,1125.29,519.284,943.651,685.788,1106.37,519.284,996.629,523.068,1257.74,519.284,1322.07,530.637,1549.12,-1,-1,-1,-1
HAPPY,84.9029,519.687,196.011,415.313,411.493,448.982,610.14,438.881,802.054,385.011,936.73,462.45,-1,-1,185.91,590.392,408.126,583.658,640.442,563.457,862.658,553.356,-1,-1,495.665,613.96,569.737,613.96,387.924,815.975,519.234,792.406,667.378,809.241,286.917,1007.89,522.601,950.651,791.953,970.853,536.068,994.421,542.802,1078.59,542.802,1132.46,556.27,1341.21,-1,-1,-1,-1
ANGER,114.299,483.104,257.219,423.277,433.378,456.514,609.536,449.867,789.018,426.601,921.968,463.162,-1,-1,194.068,579.493,410.112,579.493,639.45,576.169,855.493,569.522,-1,-1,486.558,629.349,566.327,632.673,400.14,838.745,526.442,805.507,639.45,835.421,336.989,1048.14,516.471,1018.23,705.924,1038.17,516.471,1051.46,516.471,1064.76,516.471,1127.91,526.442,1357.25,-1,-1,-1,-1
SADNESS,112.378,462.169,230.032,389.032,433.543,385.853,608.435,360.414,802.406,363.594,929.601,436.73,-1,-1,195.054,573.464,420.824,544.845,640.234,532.126,862.824,538.486,-1,-1,493.96,586.183,567.097,583.004,414.464,780.155,541.658,719.737,656.133,770.615,366.766,1028.18,541.658,948.687,716.55,1005.92,541.658,986.845,544.838,1005.92,548.018,1053.62,548.018,1292.11,-1,-1,-1,-1
DISGUST,115.162,516.126,251.565,464.975,432.299,488.845,619.853,492.255,786.946,451.335,936.989,488.845,-1,-1,176.543,608.198,411.838,597.968,647.133,591.147,875.608,587.737,-1,-1,497.09,649.119,572.112,649.119,408.428,867.363,538.011,867.363,657.363,853.723,316.356,1092.43,517.55,1020.82,732.385,1095.84,514.14,1051.51,524.371,1150.4,524.371,1201.55,531.191,1385.69,-1,-1,-1,-1
SURPRISE,82.2266,473.953,166.745,339.493,393.406,408.644,612.385,389.435,800.629,316.442,938.932,443.219,-1,-1,178.27,566.155,412.615,566.155,650.802,550.788,862.097,531.579,-1,-1,489.45,608.414,562.442,600.73,420.299,815.867,527.867,742.874,650.802,800.5,385.723,1161.62,535.55,992.586,704.586,1146.26,531.709,1031.0,539.392,1292.24,539.392,1357.55,539.392,1553.48,-1,-1,-1,-1
FEAR,68.1978,498.996,200.14,370.824,437.637,404.752,629.896,412.291,848.543,363.284,1006.87,465.068,-1,-1,151.133,563.083,415.018,563.083,663.824,551.773,942.788,548.004,-1,-1,482.874,604.55,595.968,604.55,369.781,849.586,531.881,800.579,701.522,860.896,332.083,1166.25,524.342,1087.08,731.68,1170.02,524.342,1124.78,528.112,1215.26,528.112,1286.88,528.112,1531.92,-1,-1,-1,-1
ANGER,87.1906,518.673,266.975,467.306,476.112,503.996,681.579,496.658,868.701,423.277,1030.14,448.96,-1,-1,175.248,573.709,457.766,610.399,699.924,581.047,975.104,529.68,-1,-1,538.486,672.773,630.212,669.104,446.759,940.615,589.853,969.968,765.968,947.953,388.054,1186.44,600.86,1193.78,832.011,1179.1,611.867,1208.46,630.212,1234.14,626.543,1307.52,619.205,1505.65,-1,-1,-1,-1
HAPPY,70.4281,498.924,235.032,379.212,463.234,439.068,665.248,450.291,900.932,390.435,1043.09,495.183,-1,-1,160.212,551.299,425.824,581.227,680.212,573.745,960.788,570.004,-1,-1,504.385,637.342,605.392,637.342,365.968,843.097,523.09,906.694,717.622,861.802,220.068,1022.67,515.608,1075.04,826.112,1060.08,515.608,1097.49,519.349,1183.53,523.09,1239.64,523.09,1494.03,-1,-1,-1,-1
DISGUST,68.3921,566.155,218.219,473.953,437.198,527.737,610.076,527.737,821.371,454.745,1017.3,520.054,-1,-1,149.068,642.989,410.306,650.673,652.335,642.989,948.147,604.572,-1,-1,471.773,727.507,579.342,723.665,368.047,958.011,506.349,1000.27,702.277,950.327,275.845,1234.62,540.924,1188.51,817.529,1211.56,544.766,1215.41,540.924,1230.77,544.766,1288.4,567.817,1522.74,-1,-1,-1,-1
SADNESS,61.5935,570.399,197.061,477.507,437.032,496.86,615.076,485.248,847.306,442.673,1009.87,508.471,-1,-1,146.745,636.198,409.939,643.939,634.428,620.716,928.586,605.234,-1,-1,475.737,694.255,576.371,690.385,359.622,945.838,514.442,926.486,707.968,945.838,320.917,1236.13,533.795,1181.94,777.637,1228.38,545.406,1212.9,541.536,1240.0,541.536,1309.67,564.759,1549.64,-1,-1,-1,-1
SURPRISE,72.7518,510.047,198.91,391.773,443.342,462.737,648.349,458.795,896.723,403.601,1050.48,521.874,-1,-1,155.543,565.241,423.629,608.608,660.176,604.665,955.86,584.953,-1,-1,474.881,679.572,589.212,675.629,360.55,908.234,490.651,931.888,683.831,920.061,289.586,1176.32,498.536,1172.38,754.795,1196.03,506.421,1196.03,506.421,1259.11,506.421,1330.08,506.421,1586.33,-1,-1,-1,-1
FEAR,122.954,343.911,254.158,249.153,465.542,296.532,687.861,307.466,895.601,296.532,994.004,398.58,-1,-1,225.001,413.158,454.609,449.603,658.704,467.826,895.601,471.471,-1,-1,498.344,500.627,604.036,500.627,410.874,715.656,567.59,675.566,684.216,748.458,341.627,992.643,542.078,916.107,717.017,1021.8,542.078,959.842,534.789,1047.31,527.5,1109.27,516.566,1331.59,-1,-1,-1,-1
HAPPY,53.5477,422.237,184.179,378.694,361.983,396.837,579.702,389.58,772.02,360.55,917.166,389.58,-1,-1,169.664,483.924,391.012,505.696,597.845,502.068,819.192,465.781,-1,-1,449.07,560.126,543.415,556.497,372.869,766.959,492.614,730.672,637.76,774.216,303.924,973.792,503.5,952.02,739.362,962.906,503.5,981.049,518.015,1039.11,521.643,1093.54,521.643,1311.26,-1,-1,-1,-1
ANGER,111.948,370.052,264.638,343.983,454.569,384.948,692.914,403.569,886.569,396.121,1005.74,459.431,-1,-1,212.5,444.534,458.293,489.224,663.121,515.293,901.466,504.121,-1,-1,517.879,567.431,607.259,571.155,424.776,802.052,547.672,772.259,659.397,835.569,354.017,1029.22,532.776,1006.88,700.362,1062.74,525.328,1047.84,525.328,1066.47,525.328,1133.5,506.707,1334.6,-1,-1,-1,-1
SURPRISE,133.131,316.131,283.211,239.261,466.235,308.81,693.184,330.773,876.208,341.755,956.739,447.908,-1,-1,231.964,389.341,447.932,444.248,638.277,480.853,861.566,513.797,-1,-1,491.858,488.174,583.37,506.476,393.025,678.519,521.142,649.235,630.956,748.068,294.192,945.733,480.877,887.166,627.296,1004.3,473.556,920.11,458.914,1018.94,447.932,1084.83,404.007,1304.46,-1,-1,-1,-1
FEAR,127.574,452.107,245.293,391.219,427.959,476.463,651.219,419.633,862.3,350.626,975.959,448.048,-1,-1,147.87,565.767,383.307,590.122,659.337,606.359,890.715,606.359,-1,-1,476.67,561.707,570.033,561.707,375.189,918.922,492.907,914.863,634.981,951.396,294.004,1199.01,496.967,1154.36,687.752,1223.37,492.907,1194.95,492.907,1247.72,488.848,1320.79,488.848,1592.76,9.85556,935.159,1044.97,983.87
SURPRISE,127.5,445.426,214.611,341.722,434.463,470.315,691.648,457.87,940.537,316.833,1040.09,432.981,-1,-1,177.278,594.759,438.611,627.944,699.944,627.944,961.278,590.611,-1,-1,496.685,594.759,633.574,594.759,434.463,959.796,567.204,980.537,716.537,968.093,384.685,1283.35,579.648,1204.54,774.611,1262.61,579.648,1250.17,575.5,1349.72,583.796,1432.69,579.648,1664.98,44.537,947.352,1118.91,934.907
ANGER,80.5,485.5,204.5,441.5,384.5,549.5,596.5,537.5,780.5,445.5,940.5,497.5,-1,-1,136.5,597.5,360.5,625.5,648.5,625.5,876.5,605.5,-1,-1,436.5,605.5,536.5,605.5,364.5,957.5,480.5,973.5,632.5,977.5,308.5,1229.5,492.5,1197.5,692.5,1249.5,492.5,1237.5,492.5,1257.5,496.5,1301.5,524.5,1561.5,20.5,897.5,1088.5,925.5
HAPPY,81.7667,507.374,194.181,407.004,435.07,495.33,627.781,483.285,868.67,407.004,989.115,503.359,-1,-1,137.974,587.67,386.893,599.715,479.233,595.7,575.589,591.685,-1,-1,675.959,611.759,904.804,591.685,374.848,912.87,519.381,973.093,683.989,916.885,274.478,1089.52,539.456,1109.6,780.344,1097.55,539.456,1129.67,527.411,1254.13,527.411,1298.29,543.47,1583.34,5.48519,860.678,1089.49,876.737
